open_time,open,high,low,close,volume
1779766200000,2088.26,2089.3,2087.58,2087.94,82.3903
1779766260000,2087.95,2090.0,2087.95,2089.85,37.6654
1779766320000,2089.85,2091.32,2089.85,2090.72,159.1625
1779766380000,2090.72,2092.02,2090.71,2092.01,74.7458
1779766440000,2092.01,2092.2,2091.68,2091.99,66.9585
1779766500000,2092.0,2092.59,2091.99,2092.17,137.4222
1779766560000,2092.17,2093.84,2092.17,2092.88,203.3256
1779766620000,2092.88,2093.34,2092.88,2093.34,48.5449
1779766680000,2093.33,2093.65,2091.94,2093.64,317.7191
1779766740000,2093.65,2093.65,2092.52,2092.52,89.7921
1779766800000,2092.52,2092.85,2092.2,2092.64,103.165
1779766860000,2092.64,2093.02,2092.18,2092.18,94.5963
1779766920000,2092.17,2092.21,2092.12,2092.13,21.4087
1779766980000,2092.13,2092.13,2092.12,2092.13,18.9938
1779767040000,2092.13,2092.13,2092.12,2092.12,14.1425
1779767100000,2092.12,2092.13,2091.99,2092.0,31.5575
1779767160000,2092.0,2092.06,2091.28,2092.0,35.5855
1779767220000,2091.99,2091.99,2091.08,2091.08,45.6643
1779767280000,2091.08,2091.53,2091.08,2091.53,45.5238
1779767340000,2091.53,2092.01,2091.53,2092.0,42.4626
1779767400000,2092.0,2092.06,2091.94,2092.05,22.6625
1779767460000,2092.05,2092.19,2091.7,2092.19,27.5939
1779767520000,2092.2,2093.0,2092.2,2093.0,16.2266
1779767580000,2093.0,2093.29,2092.69,2092.76,44.0041
1779767640000,2092.77,2093.47,2092.77,2093.15,28.9651
1779767700000,2093.15,2093.16,2092.74,2092.75,31.8638
1779767760000,2092.74,2093.03,2092.44,2093.03,24.4545
1779767820000,2093.03,2093.05,2093.02,2093.05,8.1454
1779767880000,2093.04,2093.21,2093.0,2093.2,24.7667
1779767940000,2093.21,2093.21,2093.11,2093.12,27.0255
1779768000000,2093.11,2093.96,2093.11,2093.95,36.6368
1779768060000,2093.96,2094.88,2092.92,2093.09,135.3095
1779768120000,2093.08,2093.09,2092.13,2092.27,26.8416
1779768180000,2092.26,2092.26,2091.48,2091.64,32.9787
1779768240000,2091.64,2092.13,2091.32,2092.13,61.7831
1779768300000,2092.14,2092.25,2091.19,2091.35,64.8969
1779768360000,2091.35,2091.35,2090.79,2090.84,82.2107
1779768420000,2090.84,2091.8,2090.84,2091.8,37.3711
1779768480000,2091.8,2091.8,2091.11,2091.11,41.4633
1779768540000,2091.1,2091.1,2090.34,2090.82,45.4561
1779768600000,2090.81,2090.82,2090.69,2090.7,43.2849
1779768660000,2090.69,2090.71,2090.51,2090.7,65.122
1779768720000,2090.7,2090.7,2090.45,2090.46,11.4624
1779768780000,2090.46,2091.5,2089.87,2091.43,220.8715
1779768840000,2091.42,2091.42,2090.54,2090.83,68.7034
1779768900000,2090.84,2091.15,2090.19,2090.19,30.9449
1779768960000,2090.19,2090.19,2088.82,2088.82,61.0083
1779769020000,2088.82,2089.1,2088.82,2089.1,33.0955
1779769080000,2089.1,2089.13,2088.82,2089.12,32.0768
1779769140000,2089.13,2089.63,2088.9,2089.01,64.4811
1779769200000,2089.02,2089.35,2089.01,2089.07,36.2714
1779769260000,2089.07,2089.49,2089.07,2089.48,27.7772
1779769320000,2089.49,2089.81,2089.49,2089.74,21.2462
1779769380000,2089.74,2089.75,2089.0,2089.24,32.6348
1779769440000,2089.25,2091.76,2089.24,2091.27,35.1454
1779769500000,2091.28,2092.4,2091.27,2092.25,22.5496
1779769560000,2092.26,2092.45,2092.17,2092.17,21.5376
1779769620000,2092.17,2092.18,2091.59,2091.83,40.9606
1779769680000,2091.83,2092.55,2091.63,2092.55,36.9422
1779769740000,2092.55,2094.44,2092.55,2093.94,63.136
1779769800000,2093.95,2094.81,2093.95,2094.32,74.0991
1779769860000,2094.32,2094.36,2093.38,2094.17,111.6596
1779769920000,2094.17,2094.56,2094.17,2094.47,64.7683
1779769980000,2094.47,2094.47,2094.08,2094.21,30.7506
1779770040000,2094.22,2094.56,2094.21,2094.25,24.1865
1779770100000,2094.25,2094.82,2094.25,2094.82,24.7995
1779770160000,2094.82,2095.68,2094.82,2095.68,57.8831
1779770220000,2095.69,2095.69,2094.63,2094.64,38.4656
1779770280000,2094.64,2094.65,2094.34,2094.34,42.8338
1779770340000,2094.34,2094.45,2094.24,2094.44,13.4064
1779770400000,2094.44,2094.82,2094.18,2094.81,31.7207
1779770460000,2094.81,2094.82,2094.57,2094.58,30.0759
1779770520000,2094.58,2094.58,2094.57,2094.57,1.7332
1779770580000,2094.57,2095.1,2094.37,2095.1,67.1162
1779770640000,2095.1,2095.1,2094.92,2094.93,11.0326
1779770700000,2094.93,2095.73,2094.92,2095.73,291.9613
1779770760000,2095.72,2095.72,2095.0,2095.23,260.1801
1779770820000,2095.24,2095.26,2093.59,2094.77,209.9056
1779770880000,2094.77,2094.78,2094.48,2094.48,22.7891
1779770940000,2094.48,2094.5,2094.48,2094.5,5.3546
1779771000000,2094.49,2094.6,2094.49,2094.59,33.596
1779771060000,2094.59,2094.98,2094.48,2094.49,201.3896
1779771120000,2094.49,2094.94,2094.48,2094.55,22.4154
1779771180000,2094.55,2094.82,2094.55,2094.81,14.4911
1779771240000,2094.82,2095.32,2094.81,2094.91,29.5255
1779771300000,2094.91,2095.46,2094.7,2095.45,78.3414
1779771360000,2095.45,2096.45,2095.44,2096.31,98.7985
1779771420000,2096.3,2096.3,2095.53,2095.53,86.7148
1779771480000,2095.53,2095.53,2094.49,2094.49,64.4042
1779771540000,2094.49,2094.5,2093.67,2093.67,70.5571
1779771600000,2093.68,2093.76,2093.19,2093.2,36.3864
1779771660000,2093.2,2093.2,2092.05,2092.47,47.3642
1779771720000,2092.47,2092.74,2092.46,2092.73,83.8133
1779771780000,2092.74,2092.94,2092.72,2092.72,30.8182
1779771840000,2092.72,2093.3,2092.18,2093.3,110.7488
1779771900000,2093.29,2093.29,2092.21,2092.38,129.3567
1779771960000,2092.39,2092.55,2092.38,2092.54,26.1354
1779772020000,2092.55,2093.08,2092.45,2093.08,506.3005
1779772080000,2093.08,2094.88,2093.08,2094.85,39.5913
1779772140000,2094.86,2094.86,2094.2,2094.2,47.446
1779772200000,2094.2,2094.52,2094.2,2094.38,24.0974
1779772260000,2094.39,2094.39,2094.38,2094.39,15.974
1779772320000,2094.39,2094.73,2094.08,2094.72,89.6155
1779772380000,2094.73,2095.82,2094.72,2095.81,89.8283
1779772440000,2095.81,2095.81,2094.96,2095.17,153.3594
1779772500000,2095.16,2095.64,2095.16,2095.46,350.2943
1779772560000,2095.45,2096.24,2095.35,2096.03,182.7734
1779772620000,2096.02,2096.04,2095.86,2095.86,66.5913
1779772680000,2095.87,2096.36,2095.87,2096.35,30.6991
1779772740000,2096.36,2097.0,2096.35,2096.99,63.7122
1779772800000,2096.99,2098.56,2096.75,2098.43,288.5679
1779772860000,2098.44,2099.02,2098.44,2098.53,167.6605
1779772920000,2098.53,2098.54,2097.8,2098.11,47.4
1779772980000,2098.11,2098.93,2098.11,2098.93,35.4734
1779773040000,2098.94,2099.31,2098.94,2099.11,86.9078
1779773100000,2099.11,2099.12,2098.81,2098.81,25.6167
1779773160000,2098.82,2098.95,2098.81,2098.95,13.1271
1779773220000,2098.95,2098.99,2098.94,2098.99,7.7624
1779773280000,2098.99,2099.0,2098.71,2098.72,17.8919
1779773340000,2098.71,2098.83,2098.68,2098.69,16.7984
1779773400000,2098.68,2099.31,2098.25,2099.08,98.7209
1779773460000,2099.07,2099.08,2098.7,2098.7,31.248
1779773520000,2098.7,2098.94,2098.25,2098.93,154.0693
1779773580000,2098.94,2099.24,2098.93,2099.01,102.4638
1779773640000,2099.0,2099.16,2098.61,2099.15,114.682
1779773700000,2099.16,2103.24,2099.16,2103.01,773.8309
1779773760000,2103.01,2103.65,2101.09,2103.32,62.196
1779773820000,2103.31,2103.31,2102.21,2102.76,53.2461
1779773880000,2102.77,2102.89,2102.22,2102.5,398.8048
1779773940000,2102.49,2103.12,2102.49,2103.0,44.3922
1779774000000,2103.0,2103.01,2101.13,2101.13,42.9599
1779774060000,2101.14,2101.79,2101.13,2101.43,34.5031
1779774120000,2101.43,2101.61,2101.21,2101.61,7.6109
1779774180000,2101.6,2103.19,2101.6,2103.06,30.0741
1779774240000,2103.07,2103.21,2102.52,2102.67,43.749
1779774300000,2102.67,2102.67,2101.31,2101.31,22.3645
1779774360000,2101.32,2101.32,2101.13,2101.14,10.1179
1779774420000,2101.13,2101.14,2100.06,2100.06,67.8656
1779774480000,2100.07,2100.46,2100.0,2100.45,24.1773
1779774540000,2100.45,2100.46,2100.01,2100.01,126.3451
1779774600000,2100.01,2100.28,2100.0,2100.27,36.6085
1779774660000,2100.27,2100.27,2100.0,2100.01,30.3423
1779774720000,2100.01,2100.01,2099.31,2099.31,312.8162
1779774780000,2099.31,2099.32,2098.31,2099.02,150.8957
1779774840000,2099.02,2099.07,2098.55,2098.73,38.8563
1779774900000,2098.73,2099.78,2098.73,2099.62,28.5683
1779774960000,2099.62,2100.36,2099.62,2100.22,51.0238
1779775020000,2100.22,2100.31,2099.94,2100.15,66.1286
1779775080000,2100.15,2100.36,2100.01,2100.35,24.6032
1779775140000,2100.36,2100.92,2100.19,2100.91,113.6895
1779775200000,2100.9,2100.91,2098.99,2099.0,19.7018
1779775260000,2099.0,2099.69,2098.61,2098.61,38.5518
1779775320000,2098.61,2098.81,2098.19,2098.76,77.7181
1779775380000,2098.76,2100.01,2098.55,2100.0,33.5136
1779775440000,2100.0,2100.0,2099.42,2099.85,18.549
1779775500000,2099.86,2100.53,2099.44,2100.52,74.1706
1779775560000,2100.53,2100.8,2100.12,2100.79,47.5286
1779775620000,2100.8,2101.34,2100.57,2100.58,97.1205
1779775680000,2100.57,2101.06,2100.52,2100.97,70.6744
1779775740000,2100.96,2101.04,2100.96,2101.04,12.4423
1779775800000,2101.04,2101.04,2099.19,2099.19,102.635
1779775860000,2099.2,2099.91,2099.09,2099.6,54.3752
1779775920000,2099.6,2099.6,2099.17,2099.18,16.2887
1779775980000,2099.18,2100.35,2099.17,2099.93,44.3614
1779776040000,2099.93,2100.19,2099.89,2100.19,25.1824
1779776100000,2100.19,2100.49,2099.8,2100.14,54.3025
1779776160000,2100.13,2100.14,2100.13,2100.14,7.2287
1779776220000,2100.13,2100.47,2100.0,2100.46,69.9079
1779776280000,2100.46,2100.46,2099.35,2099.74,147.4481
1779776340000,2099.74,2099.75,2099.7,2099.74,12.09
1779776400000,2099.75,2099.75,2099.4,2099.74,29.0642
1779776460000,2099.75,2100.46,2099.51,2099.81,255.9369
1779776520000,2099.8,2099.8,2099.02,2099.02,25.6963
1779776580000,2099.02,2099.02,2097.9,2098.25,71.9281
1779776640000,2098.24,2099.5,2098.24,2099.5,19.1817
1779776700000,2099.5,2100.55,2099.49,2100.3,32.8689
1779776760000,2100.3,2100.3,2099.31,2099.6,131.1292
1779776820000,2099.59,2099.59,2098.57,2098.57,34.2679
1779776880000,2098.58,2098.58,2094.78,2095.97,455.536
1779776940000,2095.96,2097.66,2095.51,2096.98,149.1011
1779777000000,2096.99,2098.12,2096.99,2097.57,116.0972
1779777060000,2097.57,2097.76,2097.3,2097.51,38.9097
1779777120000,2097.5,2097.76,2097.03,2097.03,39.3712
1779777180000,2097.03,2097.84,2097.03,2097.68,112.9981
1779777240000,2097.68,2098.12,2097.68,2097.92,23.4076
1779777300000,2097.93,2098.59,2097.92,2098.59,24.8827
1779777360000,2098.59,2100.4,2098.59,2100.37,81.0862
1779777420000,2100.38,2100.75,2100.04,2100.74,40.4522
1779777480000,2100.75,2100.93,2100.02,2100.65,259.7087
1779777540000,2100.65,2102.0,2100.65,2102.0,106.7032
1779777600000,2102.01,2104.65,2102.01,2103.06,262.6813
1779777660000,2103.07,2103.4,2101.98,2101.99,83.8143
1779777720000,2101.99,2102.43,2101.79,2102.16,22.5241
1779777780000,2102.16,2102.16,2101.52,2102.15,21.5552
1779777840000,2102.15,2103.13,2102.15,2102.7,33.2123
1779777900000,2102.7,2102.7,2101.71,2101.71,56.2263
1779777960000,2101.72,2102.63,2101.72,2102.31,213.97
