open_time,open,high,low,close,volume
1779853200000,83.72,83.8,83.72,83.76,672.409
1779853260000,83.76,83.77,83.75,83.76,100.95
1779853320000,83.77,83.77,83.73,83.74,688.586
1779853380000,83.75,83.76,83.71,83.74,724.39
1779853440000,83.73,83.73,83.71,83.72,57.368
1779853500000,83.72,83.72,83.68,83.7,1418.278
1779853560000,83.71,83.71,83.65,83.66,252.617
1779853620000,83.67,83.7,83.67,83.7,883.109
1779853680000,83.69,83.69,83.53,83.58,3569.268
1779853740000,83.58,83.62,83.56,83.57,2464.138
1779853800000,83.56,83.59,83.48,83.58,2876.321
1779853860000,83.58,83.64,83.58,83.62,971.735
1779853920000,83.63,83.64,83.59,83.59,195.859
1779853980000,83.6,83.63,83.59,83.63,1983.555
1779854040000,83.62,83.63,83.61,83.62,52.82
1779854100000,83.62,83.62,83.57,83.61,416.707
1779854160000,83.62,83.66,83.62,83.66,1007.771
1779854220000,83.66,83.67,83.65,83.66,529.777
1779854280000,83.65,83.65,83.59,83.6,271.172
1779854340000,83.6,83.64,83.6,83.63,571.454
1779854400000,83.62,83.65,83.57,83.65,236.121
1779854460000,83.66,83.66,83.59,83.59,879.511
1779854520000,83.59,83.61,83.56,83.6,431.113
1779854580000,83.59,83.62,83.58,83.62,504.757
1779854640000,83.62,83.65,83.62,83.64,412.12
1779854700000,83.63,83.63,83.57,83.6,1439.089
1779854760000,83.6,83.62,83.59,83.62,138.707
1779854820000,83.63,83.68,83.63,83.65,903.766
1779854880000,83.66,83.67,83.65,83.67,440.441
1779854940000,83.66,83.66,83.65,83.65,240.809
1779855000000,83.65,83.66,83.63,83.65,333.352
1779855060000,83.65,83.67,83.64,83.67,134.409
1779855120000,83.67,83.68,83.66,83.67,850.665
1779855180000,83.67,83.67,83.59,83.6,192.81
1779855240000,83.6,83.6,83.56,83.56,381.591
1779855300000,83.56,83.58,83.47,83.51,1870.315
1779855360000,83.5,83.55,83.5,83.53,317.402
1779855420000,83.53,83.53,83.48,83.5,146.981
1779855480000,83.5,83.51,83.38,83.38,2256.511
1779855540000,83.38,83.45,83.32,83.43,1384.213
1779855600000,83.43,83.45,83.36,83.4,1813.311
1779855660000,83.39,83.46,83.39,83.44,513.859
1779855720000,83.45,83.45,83.38,83.4,835.854
1779855780000,83.4,83.41,83.39,83.4,676.138
1779855840000,83.4,83.46,83.4,83.45,286.651
1779855900000,83.45,83.46,83.44,83.44,202.603
1779855960000,83.44,83.49,83.44,83.48,307.163
1779856020000,83.48,83.51,83.45,83.48,349.712
1779856080000,83.48,83.5,83.47,83.5,824.208
1779856140000,83.49,83.49,83.41,83.41,359.471
1779856200000,83.42,83.45,82.86,82.96,40646.367
1779856260000,82.97,83.03,82.93,83.0,5076.483
1779856320000,83.0,83.06,82.97,83.02,1739.424
1779856380000,83.02,83.1,82.99,83.09,11803.917
1779856440000,83.09,83.13,83.07,83.1,3789.871
1779856500000,83.1,83.15,83.1,83.15,1526.676
1779856560000,83.16,83.18,83.14,83.16,345.172
1779856620000,83.17,83.2,83.16,83.19,305.113
1779856680000,83.2,83.21,83.16,83.21,654.245
1779856740000,83.21,83.26,83.21,83.25,776.218
1779856800000,83.25,83.26,83.22,83.26,358.573
1779856860000,83.25,83.26,83.2,83.2,473.811
1779856920000,83.21,83.21,83.2,83.2,334.106
1779856980000,83.2,83.22,83.19,83.2,506.613
1779857040000,83.2,83.22,83.19,83.22,342.199
1779857100000,83.22,83.35,83.21,83.35,2221.531
1779857160000,83.35,83.36,83.32,83.33,563.968
1779857220000,83.33,83.38,83.32,83.38,319.162
1779857280000,83.38,83.4,83.37,83.4,392.444
1779857340000,83.39,83.45,83.39,83.45,311.356
1779857400000,83.45,83.48,83.43,83.47,649.987
1779857460000,83.48,83.59,83.47,83.57,1493.049
1779857520000,83.57,83.6,83.55,83.58,351.834
1779857580000,83.58,83.61,83.57,83.61,714.161
1779857640000,83.61,83.65,83.6,83.62,834.857
1779857700000,83.61,83.61,83.58,83.61,710.72
1779857760000,83.6,83.62,83.59,83.6,368.245
1779857820000,83.61,83.62,83.59,83.62,235.527
1779857880000,83.62,83.65,83.61,83.65,685.454
1779857940000,83.65,83.68,83.62,83.64,753.615
1779858000000,83.64,83.72,83.64,83.69,903.907
1779858060000,83.68,83.68,83.63,83.67,827.666
1779858120000,83.67,83.73,83.67,83.73,153.499
1779858180000,83.72,83.72,83.67,83.68,378.629
1779858240000,83.69,83.71,83.68,83.69,1725.632
1779858300000,83.7,83.71,83.67,83.71,1206.997
1779858360000,83.71,83.71,83.66,83.67,625.812
1779858420000,83.66,83.7,83.65,83.7,432.58
1779858480000,83.7,83.7,83.67,83.7,287.197
1779858540000,83.7,83.74,83.7,83.74,361.342
1779858600000,83.73,83.73,83.66,83.72,485.782
1779858660000,83.71,83.72,83.67,83.68,433.569
1779858720000,83.69,83.71,83.67,83.7,266.769
1779858780000,83.7,83.7,83.65,83.65,789.731
1779858840000,83.66,83.71,83.64,83.69,355.01
1779858900000,83.69,83.7,83.65,83.66,208.211
1779858960000,83.67,83.71,83.66,83.7,305.438
1779859020000,83.7,83.7,83.65,83.66,143.891
1779859080000,83.66,83.7,83.66,83.66,236.601
1779859140000,83.66,83.67,83.65,83.65,174.402
1779859200000,83.66,83.66,83.57,83.62,528.875
1779859260000,83.61,83.64,83.6,83.63,364.572
1779859320000,83.63,83.75,83.63,83.72,865.82
1779859380000,83.71,83.72,83.69,83.7,802.177
1779859440000,83.71,83.78,83.71,83.75,730.914
1779859500000,83.75,83.78,83.73,83.78,332.707
1779859560000,83.77,83.82,83.77,83.81,324.027
1779859620000,83.81,83.84,83.78,83.79,756.58
1779859680000,83.78,83.79,83.77,83.78,218.911
1779859740000,83.78,83.79,83.77,83.78,261.759
1779859800000,83.77,83.79,83.76,83.77,290.738
1779859860000,83.76,83.81,83.76,83.78,316.652
1779859920000,83.78,83.78,83.72,83.72,350.548
1779859980000,83.72,83.72,83.67,83.69,1086.669
1779860040000,83.69,83.71,83.67,83.68,476.392
1779860100000,83.68,83.74,83.67,83.73,219.059
1779860160000,83.73,83.77,83.72,83.77,297.564
1779860220000,83.76,83.85,83.76,83.81,268.481
1779860280000,83.8,83.8,83.77,83.78,522.292
1779860340000,83.79,83.79,83.74,83.75,1765.243
1779860400000,83.76,83.76,83.75,83.76,75.658
1779860460000,83.75,83.75,83.68,83.69,431.526
1779860520000,83.69,83.71,83.65,83.69,766.303
1779860580000,83.7,83.73,83.69,83.69,413.908
1779860640000,83.7,83.71,83.67,83.7,213.863
1779860700000,83.71,83.72,83.66,83.69,288.88
1779860760000,83.69,83.76,83.69,83.76,373.994
1779860820000,83.76,83.77,83.72,83.74,124.655
1779860880000,83.73,83.77,83.73,83.76,1255.08
1779860940000,83.76,83.77,83.72,83.76,249.796
1779861000000,83.77,83.83,83.77,83.83,366.256
1779861060000,83.82,83.86,83.8,83.82,1593.362
1779861120000,83.82,83.82,83.78,83.79,156.968
1779861180000,83.79,83.86,83.76,83.85,667.341
1779861240000,83.84,83.86,83.84,83.86,77.773
1779861300000,83.85,83.89,83.85,83.89,850.05
1779861360000,83.88,83.93,83.87,83.89,6009.893
1779861420000,83.89,83.92,83.89,83.92,710.666
1779861480000,83.91,83.93,83.91,83.93,136.411
1779861540000,83.93,83.93,83.88,83.89,1282.122
1779861600000,83.89,83.94,83.86,83.87,469.237
1779861660000,83.87,83.87,83.8,83.8,2136.725
1779861720000,83.8,83.86,83.8,83.85,570.542
1779861780000,83.86,83.9,83.85,83.9,253.885
1779861840000,83.9,83.92,83.89,83.89,627.331
1779861900000,83.9,83.95,83.87,83.94,1104.093
1779861960000,83.93,83.96,83.9,83.95,238.055
1779862020000,83.95,83.95,83.87,83.88,603.827
1779862080000,83.88,83.97,83.88,83.94,564.199
1779862140000,83.95,83.96,83.92,83.95,451.902
1779862200000,83.94,83.95,83.89,83.89,503.292
1779862260000,83.89,83.9,83.83,83.83,546.336
1779862320000,83.83,83.84,83.81,83.82,322.071
1779862380000,83.82,83.86,83.82,83.86,593.867
1779862440000,83.87,83.87,83.85,83.85,482.315
1779862500000,83.85,83.85,83.79,83.81,623.429
1779862560000,83.81,83.82,83.78,83.78,222.601
1779862620000,83.79,83.85,83.78,83.85,476.961
1779862680000,83.84,83.85,83.76,83.76,368.401
1779862740000,83.76,83.81,83.76,83.8,381.419
1779862800000,83.81,83.82,83.8,83.82,103.526
1779862860000,83.81,83.84,83.77,83.78,669.431
1779862920000,83.77,83.79,83.74,83.79,173.045
1779862980000,83.78,83.82,83.76,83.81,515.619
1779863040000,83.8,83.82,83.8,83.82,138.862
1779863100000,83.82,83.85,83.81,83.85,338.32
1779863160000,83.84,83.85,83.81,83.82,363.988
1779863220000,83.83,83.85,83.82,83.85,135.716
1779863280000,83.86,83.89,83.85,83.89,526.609
1779863340000,83.89,83.9,83.87,83.88,1034.225
1779863400000,83.87,83.94,83.87,83.94,4177.968
1779863460000,83.95,84.01,83.91,83.92,4614.921
1779863520000,83.92,83.92,83.84,83.85,1338.519
1779863580000,83.85,83.92,83.85,83.91,481.935
1779863640000,83.92,83.92,83.88,83.89,285.84
1779863700000,83.89,83.92,83.89,83.89,282.793
1779863760000,83.89,83.94,83.86,83.92,1604.709
