open_time,okx_close
1772733300000,88.12
1772733600000,88.26
1772733900000,88.29
1772734200000,88.35
1772734500000,88.24
1772734800000,88.27
1772735100000,88.16
1772735400000,88.62
1772735700000,88.53
1772736000000,88.68
1772736300000,88.73
1772736600000,88.61
1772736900000,88.81
1772737200000,89.05
1772737500000,89.09
1772737800000,89.29
1772738100000,89.14
1772738400000,89.1
1772738700000,89.01
1772739000000,89.01
1772739300000,88.85
1772739600000,88.92
1772739900000,88.99
1772740200000,88.76
1772740500000,88.74
1772740800000,88.95
1772741100000,88.96
1772741400000,89.1
1772741700000,89.29
1772742000000,89.35
1772742300000,89.23
1772742600000,89.41
1772742900000,89.29
1772743200000,89.22
1772743500000,89.25
1772743800000,89.26
1772744100000,89.22
1772744400000,89.44
1772744700000,89.42
1772745000000,89.42
1772745300000,89.72
1772745600000,89.67
1772745900000,89.76
1772746200000,89.46
1772746500000,89.12
1772746800000,89.09
1772747100000,89.24
1772747400000,88.91
1772747700000,89.11
1772748000000,89.13
1772748300000,89.14
1772748600000,89.08
1772748900000,89.11
1772749200000,89.13
1772749500000,88.99
1772749800000,89.19
1772750100000,89.16
1772750400000,89.21
1772750700000,89.22
1772751000000,89.23
1772751300000,89.11
1772751600000,89.06
1772751900000,89.05
1772752200000,88.99
1772752500000,89.08
1772752800000,89.08
1772753100000,89.11
1772753400000,88.69
1772753700000,88.82
1772754000000,88.83
1772754300000,88.68
1772754600000,88.72
1772754900000,88.77
1772755200000,88.88
1772755500000,88.79
1772755800000,89.0
1772756100000,88.92
1772756400000,89.0
1772756700000,88.84
1772757000000,88.79
1772757300000,88.83
1772757600000,88.77
1772757900000,88.82
1772758200000,88.84
1772758500000,88.85
1772758800000,88.76
1772759100000,88.83
1772759400000,88.62
1772759700000,88.57
1772760000000,88.65
1772760300000,88.15
1772760600000,88.99
1772760900000,89.09
1772761200000,89.14
1772761500000,89.06
1772761800000,89.1
1772762100000,89.13
1772762400000,89.0
1772762700000,89.1
1772763000000,89.25
1772763300000,88.66
1772763600000,88.31
1772763900000,88.6
1772764200000,88.35
1772764500000,88.54
1772764800000,88.69
1772765100000,88.61
1772765400000,88.3
1772765700000,88.37
1772766000000,88.46
1772766300000,88.51
1772766600000,88.26
1772766900000,88.37
1772767200000,88.57
1772767500000,88.51
1772767800000,88.55
1772768100000,88.33
1772768400000,88.36
1772768700000,88.38
1772769000000,88.37
1772769300000,88.41
1772769600000,88.47
1772769900000,88.34
1772770200000,88.34
1772770500000,88.43
1772770800000,88.55
1772771100000,88.45
1772771400000,88.51
1772771700000,88.19
1772772000000,88.04
1772772300000,88.05
1772772600000,88.01
1772772900000,88.15
1772773200000,88.1
1772773500000,88.03
1772773800000,88.05
1772774100000,88.09
1772774400000,87.89
1772774700000,87.92
1772775000000,87.69
1772775300000,87.58
1772775600000,87.57
1772775900000,87.56
1772776200000,87.8
1772776500000,87.9
1772776800000,87.92
1772777100000,87.78
1772777400000,87.75
1772777700000,87.8
1772778000000,87.97
1772778300000,87.84
1772778600000,87.97
1772778900000,88.03
1772779200000,88.22
1772779500000,88.31
1772779800000,88.09
1772780100000,88.08
1772780400000,88.22
1772780700000,88.08
1772781000000,88.03
1772781300000,88.12
1772781600000,88.38
1772781900000,88.67
1772782200000,88.59
1772782500000,88.56
1772782800000,88.74
1772783100000,88.79
1772783400000,88.73
1772783700000,88.71
1772784000000,88.45
1772784300000,88.43
1772784600000,88.4
1772784900000,88.52
1772785200000,88.47
1772785500000,88.42
1772785800000,88.46
1772786100000,88.4
1772786400000,88.44
1772786700000,88.48
1772787000000,88.27
1772787300000,88.35
1772787600000,88.46
1772787900000,88.1
1772788200000,87.79
1772788500000,87.78
1772788800000,87.55
1772789100000,87.34
1772789400000,87.2
1772789700000,87.28
1772790000000,87.45
1772790300000,87.27
1772790600000,87.39
1772790900000,87.5
1772791200000,87.62
1772791500000,87.69
1772791800000,87.78
1772792100000,87.73
1772792400000,87.79
1772792700000,87.91
1772793000000,87.66
1772793300000,87.67
1772793600000,87.66
1772793900000,87.66
1772794200000,87.83
1772794500000,87.71
1772794800000,87.6
1772795100000,87.67
1772795400000,87.89
1772795700000,87.82
1772796000000,87.74
1772796300000,87.84
1772796600000,87.72
1772796900000,87.81
1772797200000,87.52
1772797500000,87.28
1772797800000,87.25
1772798100000,87.26
1772798400000,87.1
1772798700000,86.44
1772799000000,86.62
1772799300000,87.09
1772799600000,87.01
1772799900000,86.81
1772800200000,86.47
1772800500000,86.32
1772800800000,86.23
1772801100000,86.26
1772801400000,86.4
1772801700000,86.48
1772802000000,86.62
1772802300000,86.61
1772802600000,86.57
1772802900000,86.63
1772803200000,86.56
1772803500000,86.5
1772803800000,86.89
1772804100000,86.73
1772804400000,86.79
1772804700000,86.7
1772805000000,86.66
1772805300000,85.58
1772805600000,85.68
1772805900000,85.09
