open_time,okx_close
1772740800000,88.73
1772755200000,88.35
1772769600000,88.64
1772784000000,87.2
1772798400000,84.57
1772812800000,85.14
1772827200000,84.65
1772841600000,84.48
1772856000000,84.28
1772870400000,84.59
1772884800000,83.69
1772899200000,82.46
1772913600000,83.17
1772928000000,82.27
1772942400000,82.88
1772956800000,82.74
1772971200000,82.0
1772985600000,82.42
1773000000000,81.54
1773014400000,83.1
1773028800000,83.11
1773043200000,83.51
1773057600000,85.0
1773072000000,85.92
1773086400000,84.9
1773100800000,85.52
1773115200000,86.65
1773129600000,86.75
1773144000000,88.32
1773158400000,85.97
1773172800000,85.81
1773187200000,85.56
1773201600000,85.39
1773216000000,84.49
1773230400000,85.36
1773244800000,87.25
1773259200000,86.53
1773273600000,84.94
1773288000000,85.75
1773302400000,86.76
1773316800000,86.53
1773331200000,86.75
1773345600000,86.79
1773360000000,89.67
1773374400000,88.63
1773388800000,90.27
1773403200000,89.42
1773417600000,88.85
1773432000000,88.12
1773446400000,88.36
1773460800000,87.25
1773475200000,86.9
1773489600000,86.68
1773504000000,86.94
1773518400000,87.98
1773532800000,87.81
1773547200000,88.17
1773561600000,88.51
1773576000000,87.85
1773590400000,88.13
1773604800000,92.29
1773619200000,93.15
1773633600000,93.52
1773648000000,93.7
1773662400000,93.15
1773676800000,95.17
1773691200000,96.14
1773705600000,94.01
1773720000000,94.38
1773734400000,93.59
1773748800000,93.77
1773763200000,94.6
1773777600000,94.55
1773792000000,94.99
1773806400000,93.88
1773820800000,91.94
1773835200000,89.31
1773849600000,89.63
1773864000000,90.02
1773878400000,90.66
1773892800000,89.36
1773907200000,89.57
1773921600000,87.57
1773936000000,88.66
1773950400000,88.84
1773964800000,89.53
1773979200000,89.32
1773993600000,89.09
1774008000000,88.91
1774022400000,88.94
1774036800000,89.79
1774051200000,90.41
1774065600000,90.1
1774080000000,89.9
1774094400000,89.76
1774108800000,89.74
1774123200000,87.48
1774137600000,88.61
1774152000000,87.64
1774166400000,86.77
1774180800000,87.52
1774195200000,86.81
1774209600000,86.16
1774224000000,86.34
1774238400000,85.93
1774252800000,88.75
1774267200000,89.91
1774281600000,91.34
1774296000000,91.4
1774310400000,90.3
1774324800000,91.67
1774339200000,91.72
1774353600000,89.68
1774368000000,88.45
1774382400000,90.75
1774396800000,91.65
1774411200000,91.75
1774425600000,92.94
1774440000000,91.72
1774454400000,91.72
1774468800000,91.66
1774483200000,91.01
1774497600000,89.02
1774512000000,87.5
1774526400000,87.47
1774540800000,85.42
1774555200000,86.48
1774569600000,86.37
1774584000000,85.87
1774598400000,83.29
1774612800000,83.25
1774627200000,82.73
1774641600000,83.02
1774656000000,82.53
1774670400000,83.54
1774684800000,82.88
1774699200000,83.76
1774713600000,83.21
1774728000000,82.02
1774742400000,82.95
1774756800000,82.39
1774771200000,82.52
1774785600000,81.78
1774800000000,81.55
1774814400000,81.34
1774828800000,83.24
1774843200000,83.97
1774857600000,84.2
1774872000000,84.45
1774886400000,82.32
1774900800000,82.51
1774915200000,83.56
1774929600000,83.05
1774944000000,80.8
1774958400000,80.83
1774972800000,82.66
1774987200000,83.15
1775001600000,83.38
1775016000000,83.79
1775030400000,83.31
1775044800000,83.57
1775059200000,83.8
1775073600000,81.14
1775088000000,78.96
1775102400000,79.58
1775116800000,78.28
1775131200000,79.0
1775145600000,78.95
1775160000000,78.89
1775174400000,78.97
1775188800000,79.9
1775203200000,80.14
1775217600000,80.28
1775232000000,80.15
1775246400000,80.33
1775260800000,80.11
1775275200000,80.27
1775289600000,80.15
1775304000000,81.05
1775318400000,80.82
1775332800000,80.79
1775347200000,80.51
1775361600000,79.54
1775376000000,79.87
1775390400000,79.54
1775404800000,79.78
1775419200000,81.85
1775433600000,82.07
1775448000000,81.77
1775462400000,82.4
1775476800000,82.24
1775491200000,81.86
1775505600000,79.95
1775520000000,79.73
1775534400000,79.82
1775548800000,79.16
1775563200000,78.81
1775577600000,81.57
1775592000000,85.51
1775606400000,84.53
1775620800000,84.47
1775635200000,84.42
1775649600000,83.29
1775664000000,83.16
1775678400000,82.52
1775692800000,81.99
1775707200000,82.22
1775721600000,82.12
1775736000000,83.71
1775750400000,84.12
1775764800000,83.29
1775779200000,82.86
1775793600000,82.91
1775808000000,83.49
1775822400000,84.2
1775836800000,85.41
1775851200000,84.77
1775865600000,84.36
1775880000000,84.23
1775894400000,84.2
1775908800000,84.62
1775923200000,85.98
1775937600000,84.88
1775952000000,82.26
1775966400000,82.23
1775980800000,82.16
1775995200000,81.54
1776009600000,81.92
1776024000000,81.49
1776038400000,81.86
1776052800000,82.12
1776067200000,81.81
1776081600000,82.63
1776096000000,84.07
1776110400000,86.51
1776124800000,86.03
1776139200000,85.88
1776153600000,85.76
1776168000000,85.92
1776182400000,83.89
1776196800000,83.65
1776211200000,83.4
1776225600000,82.88
1776240000000,83.55
1776254400000,83.96
1776268800000,85.48
1776283200000,84.85
1776297600000,85.25
1776312000000,85.16
1776326400000,85.02
1776340800000,86.58
1776355200000,90.05
1776369600000,89.01
1776384000000,87.67
1776398400000,88.1
1776412800000,88.16
1776427200000,89.91
1776441600000,89.17
1776456000000,88.71
1776470400000,88.27
1776484800000,88.41
1776499200000,86.49
1776513600000,86.72
1776528000000,86.06
1776542400000,86.1
1776556800000,85.55
1776571200000,84.8
1776585600000,85.54
1776600000000,86.32
1776614400000,85.3
1776628800000,83.43
1776643200000,84.52
1776657600000,84.69
1776672000000,85.02
1776686400000,85.81
1776700800000,85.76
1776715200000,85.25
1776729600000,85.13
1776744000000,85.66
1776758400000,85.79
1776772800000,86.0
1776787200000,84.51
1776801600000,85.99
1776816000000,87.23
1776830400000,88.03
1776844800000,88.28
1776859200000,88.15
1776873600000,87.33
1776888000000,86.82
1776902400000,85.72
1776916800000,85.84
1776931200000,85.77
1776945600000,86.3
1776960000000,85.24
1776974400000,86.07
1776988800000,85.64
1777003200000,85.45
1777017600000,86.14
1777032000000,86.46
1777046400000,86.28
1777060800000,86.14
1777075200000,86.4
1777089600000,86.32
1777104000000,86.31
1777118400000,86.17
1777132800000,85.61
1777147200000,86.12
1777161600000,85.95
1777176000000,86.6
1777190400000,86.44
1777204800000,86.51
1777219200000,86.83
1777233600000,86.86
1777248000000,87.69
1777262400000,85.2
1777276800000,85.19
1777291200000,84.1
1777305600000,84.13
1777320000000,84.76
1777334400000,84.13
1777348800000,83.96
1777363200000,83.36
1777377600000,83.42
1777392000000,83.84
1777406400000,84.01
1777420800000,84.55
1777435200000,84.66
1777449600000,84.86
1777464000000,83.2
1777478400000,82.14
1777492800000,83.02
1777507200000,83.02
1777521600000,83.32
1777536000000,82.96
1777550400000,83.31
1777564800000,82.99
1777579200000,83.04
1777593600000,83.87
1777608000000,83.92
1777622400000,83.99
1777636800000,84.42
1777651200000,83.83
1777665600000,83.71
1777680000000,83.76
1777694400000,83.67
1777708800000,83.64
1777723200000,83.99
1777737600000,84.18
1777752000000,84.24
1777766400000,83.61
1777780800000,83.81
1777795200000,83.89
1777809600000,84.11
1777824000000,84.32
1777838400000,83.87
1777852800000,85.37
1777867200000,84.82
1777881600000,83.89
1777896000000,84.43
1777910400000,84.41
1777924800000,84.03
1777939200000,84.73
1777953600000,84.83
1777968000000,84.94
1777982400000,85.47
1777996800000,86.47
1778011200000,86.24
1778025600000,87.29
1778040000000,87.66
1778054400000,89.81
1778068800000,88.91
1778083200000,89.21
1778097600000,89.11
1778112000000,87.71
1778126400000,90.12
1778140800000,89.5
1778155200000,88.26
1778169600000,88.4
1778184000000,88.39
1778198400000,88.18
1778212800000,88.18
1778227200000,88.59
1778241600000,89.55
1778256000000,92.55
1778270400000,91.96
1778284800000,93.57
1778299200000,93.68
1778313600000,93.55
1778328000000,92.95
1778342400000,93.46
1778356800000,93.06
1778371200000,93.34
1778385600000,93.39
1778400000000,93.49
1778414400000,94.48
1778428800000,96.43
1778443200000,96.43
1778457600000,94.73
1778472000000,95.29
1778486400000,95.21
1778500800000,96.75
1778515200000,98.12
1778529600000,97.3
1778544000000,96.09
1778558400000,95.99
1778572800000,94.94
1778587200000,93.82
1778601600000,94.89
1778616000000,94.24
1778630400000,95.5
1778644800000,95.07
1778659200000,94.28
1778673600000,90.39
1778688000000,90.9
1778702400000,91.11
1778716800000,89.88
1778731200000,90.84
1778745600000,90.58
1778760000000,93.1
1778774400000,92.86
1778788800000,92.11
1778803200000,92.0
1778817600000,91.55
1778832000000,91.21
1778846400000,88.99
1778860800000,89.39
1778875200000,89.19
1778889600000,89.0
1778904000000,87.4
1778918400000,86.06
1778932800000,86.43
1778947200000,86.63
1778961600000,86.49
1778976000000,86.45
1778990400000,86.93
1779004800000,86.84
1779019200000,86.38
1779033600000,86.73
1779048000000,85.17
1779062400000,84.81
1779076800000,84.69
1779091200000,84.93
1779105600000,84.16
1779120000000,84.96
1779134400000,85.34
1779148800000,85.02
1779163200000,85.43
1779177600000,84.32
1779192000000,84.33
1779206400000,84.3
1779220800000,84.24
1779235200000,84.04
1779249600000,84.71
1779264000000,84.63
1779278400000,85.88
1779292800000,86.13
1779307200000,86.1
1779321600000,86.81
1779336000000,86.58
1779350400000,85.55
1779364800000,86.41
1779379200000,87.78
1779393600000,87.3
1779408000000,86.98
1779422400000,86.93
1779436800000,87.28
1779451200000,86.72
1779465600000,84.5
1779480000000,84.34
1779494400000,84.62
1779508800000,82.19
1779523200000,82.22
1779537600000,84.04
1779552000000,84.91
1779566400000,85.71
1779580800000,85.75
1779595200000,86.03
1779609600000,86.62
1779624000000,85.26
1779638400000,85.32
1779652800000,85.22
1779667200000,84.88
1779681600000,85.92
1779696000000,85.73
1779710400000,86.21
1779724800000,85.59
1779739200000,84.99
1779753600000,84.15
1779768000000,84.3
1779782400000,85.17
1779796800000,84.42
1779811200000,83.71
1779825600000,83.66
1779840000000,83.58
1779854400000,84.14
1779868800000,83.87
1779883200000,84.4
1779897600000,83.88
1779912000000,82.38
1779926400000,80.65
1779940800000,81.2
1779955200000,80.82
1779969600000,81.09
1779984000000,82.14
1779998400000,82.08
1780012800000,81.58
1780027200000,82.19
1780041600000,81.73
1780056000000,82.52
1780070400000,82.01
1780084800000,81.99
1780099200000,82.64
1780113600000,82.34
1780128000000,82.28
1780142400000,82.63
1780156800000,82.94
1780171200000,82.69
1780185600000,83.19
1780200000000,82.63
1780214400000,82.69
1780228800000,81.83
1780243200000,81.54
1780257600000,82.4
1780272000000,82.58
1780286400000,80.66
1780300800000,80.78
1780315200000,79.57
1780329600000,81.16
1780344000000,81.24
1780358400000,80.87
1780372800000,79.63
1780387200000,78.9
1780401600000,76.34
1780416000000,75.46
1780430400000,74.18
1780444800000,72.66
1780459200000,75.21
1780473600000,75.07
1780488000000,73.26
1780502400000,73.15
