open_time,okx_close
1772733000000,88.2
1772733300000,88.08
1772733600000,88.22
1772733900000,88.25
1772734200000,88.31
1772734500000,88.19
1772734800000,88.24
1772735100000,88.12
1772735400000,88.58
1772735700000,88.49
1772736000000,88.63
1772736300000,88.68
1772736600000,88.57
1772736900000,88.77
1772737200000,89.02
1772737500000,89.05
1772737800000,89.24
1772738100000,89.11
1772738400000,89.05
1772738700000,88.96
1772739000000,88.98
1772739300000,88.8
1772739600000,88.87
1772739900000,88.94
1772740200000,88.71
1772740500000,88.69
1772740800000,88.9
1772741100000,88.9
1772741400000,89.04
1772741700000,89.24
1772742000000,89.3
1772742300000,89.19
1772742600000,89.37
1772742900000,89.25
1772743200000,89.21
1772743500000,89.2
1772743800000,89.21
1772744100000,89.16
1772744400000,89.4
1772744700000,89.38
1772745000000,89.36
1772745300000,89.68
1772745600000,89.62
1772745900000,89.72
1772746200000,89.41
1772746500000,89.07
1772746800000,89.05
1772747100000,89.19
1772747400000,88.87
1772747700000,89.08
1772748000000,89.08
1772748300000,89.09
1772748600000,89.03
1772748900000,89.06
1772749200000,89.08
1772749500000,88.93
1772749800000,89.14
1772750100000,89.11
1772750400000,89.18
1772750700000,89.18
1772751000000,89.19
1772751300000,89.05
1772751600000,89.01
1772751900000,89.0
1772752200000,88.95
1772752500000,89.02
1772752800000,89.03
1772753100000,89.04
1772753400000,88.64
1772753700000,88.76
1772754000000,88.78
1772754300000,88.63
1772754600000,88.67
1772754900000,88.73
1772755200000,88.83
1772755500000,88.75
1772755800000,88.96
1772756100000,88.86
1772756400000,88.95
1772756700000,88.79
1772757000000,88.76
1772757300000,88.78
1772757600000,88.72
1772757900000,88.78
1772758200000,88.8
1772758500000,88.81
1772758800000,88.71
1772759100000,88.79
1772759400000,88.56
1772759700000,88.52
1772760000000,88.61
1772760300000,88.11
1772760600000,88.94
1772760900000,89.04
1772761200000,89.08
1772761500000,89.0
1772761800000,89.05
1772762100000,89.07
1772762400000,88.92
1772762700000,89.03
1772763000000,89.18
1772763300000,88.6
1772763600000,88.27
1772763900000,88.56
1772764200000,88.28
1772764500000,88.46
1772764800000,88.62
1772765100000,88.56
1772765400000,88.25
1772765700000,88.31
1772766000000,88.39
1772766300000,88.43
1772766600000,88.18
1772766900000,88.28
1772767200000,88.5
1772767500000,88.44
1772767800000,88.48
1772768100000,88.26
1772768400000,88.28
1772768700000,88.32
1772769000000,88.3
1772769300000,88.35
1772769600000,88.42
1772769900000,88.27
1772770200000,88.27
1772770500000,88.36
1772770800000,88.49
1772771100000,88.37
1772771400000,88.44
1772771700000,88.13
1772772000000,87.99
1772772300000,88.0
1772772600000,87.94
1772772900000,88.1
1772773200000,88.03
1772773500000,87.98
1772773800000,87.99
1772774100000,88.03
1772774400000,87.82
1772774700000,87.84
1772775000000,87.63
1772775300000,87.51
1772775600000,87.5
1772775900000,87.49
1772776200000,87.73
1772776500000,87.84
1772776800000,87.86
1772777100000,87.7
1772777400000,87.69
1772777700000,87.75
1772778000000,87.9
1772778300000,87.77
1772778600000,87.91
1772778900000,87.96
1772779200000,88.15
1772779500000,88.24
1772779800000,88.02
1772780100000,88.02
1772780400000,88.16
1772780700000,88.0
1772781000000,87.95
1772781300000,88.06
1772781600000,88.3
1772781900000,88.61
1772782200000,88.51
1772782500000,88.48
1772782800000,88.65
1772783100000,88.71
1772783400000,88.66
1772783700000,88.64
1772784000000,88.37
1772784300000,88.35
1772784600000,88.34
1772784900000,88.45
1772785200000,88.4
1772785500000,88.36
1772785800000,88.38
1772786100000,88.33
1772786400000,88.37
1772786700000,88.41
1772787000000,88.22
1772787300000,88.3
1772787600000,88.39
1772787900000,88.02
1772788200000,87.73
1772788500000,87.72
1772788800000,87.47
1772789100000,87.26
1772789400000,87.13
1772789700000,87.21
1772790000000,87.39
1772790300000,87.2
1772790600000,87.33
1772790900000,87.43
1772791200000,87.55
1772791500000,87.62
1772791800000,87.72
1772792100000,87.68
1772792400000,87.73
1772792700000,87.84
1772793000000,87.6
1772793300000,87.62
1772793600000,87.6
1772793900000,87.59
1772794200000,87.77
1772794500000,87.64
1772794800000,87.54
1772795100000,87.62
1772795400000,87.82
1772795700000,87.75
1772796000000,87.68
1772796300000,87.78
1772796600000,87.67
1772796900000,87.75
1772797200000,87.45
1772797500000,87.23
1772797800000,87.2
1772798100000,87.2
1772798400000,87.05
1772798700000,86.39
1772799000000,86.57
1772799300000,87.02
1772799600000,86.93
1772799900000,86.75
1772800200000,86.42
1772800500000,86.26
1772800800000,86.19
1772801100000,86.22
1772801400000,86.34
1772801700000,86.43
1772802000000,86.58
1772802300000,86.56
1772802600000,86.52
1772802900000,86.59
1772803200000,86.5
1772803500000,86.45
1772803800000,86.84
1772804100000,86.66
1772804400000,86.72
1772804700000,86.64
1772805000000,86.6
1772805300000,85.53
1772805600000,85.61
1772805900000,85.01
1772806200000,85.11
1772806500000,85.24
1772806800000,85.22
1772807100000,85.12
1772807400000,84.81
1772807700000,84.52
1772808000000,84.68
1772808300000,84.37
1772808600000,84.18
1772808900000,84.29
1772809200000,84.47
1772809500000,84.14
1772809800000,84.59
1772810100000,84.98
1772810400000,85.19
1772810700000,84.88
1772811000000,84.94
1772811300000,85.02
1772811600000,84.74
1772811900000,84.65
1772812200000,84.35
1772812500000,84.57
1772812800000,84.92
1772813100000,84.39
1772813400000,84.37
1772813700000,84.54
1772814000000,84.59
1772814300000,84.58
1772814600000,84.47
1772814900000,84.86
1772815200000,84.61
1772815500000,84.59
1772815800000,84.13
1772816100000,84.3
1772816400000,84.41
1772816700000,84.34
1772817000000,84.34
1772817300000,84.43
1772817600000,84.33
1772817900000,84.25
1772818200000,84.06
1772818500000,83.76
1772818800000,83.82
1772819100000,84.08
1772819400000,84.09
1772819700000,84.15
1772820000000,84.42
1772820300000,84.55
1772820600000,84.73
1772820900000,84.69
1772821200000,84.72
1772821500000,84.76
1772821800000,85.1
1772822100000,85.11
1772822400000,85.27
1772822700000,85.48
1772823000000,85.28
1772823300000,85.21
1772823600000,85.22
1772823900000,85.35
1772824200000,85.52
1772824500000,85.77
1772824800000,85.48
1772825100000,85.53
1772825400000,85.34
1772825700000,85.32
1772826000000,85.25
1772826300000,85.2
1772826600000,85.11
1772826900000,85.14
1772827200000,85.27
1772827500000,85.24
1772827800000,85.03
1772828100000,84.89
1772828400000,84.89
1772828700000,84.65
1772829000000,84.57
1772829300000,84.74
1772829600000,84.89
1772829900000,84.99
1772830200000,85.06
1772830500000,84.96
1772830800000,84.99
1772831100000,84.88
1772831400000,84.83
1772831700000,84.78
1772832000000,84.47
1772832300000,84.5
1772832600000,84.42
1772832900000,84.5
1772833200000,84.58
1772833500000,84.65
1772833800000,84.59
1772834100000,84.68
1772834400000,84.65
1772834700000,84.64
1772835000000,84.53
1772835300000,84.64
1772835600000,84.61
1772835900000,84.69
1772836200000,84.77
1772836500000,84.83
1772836800000,84.83
1772837100000,84.93
1772837400000,84.95
1772837700000,84.91
1772838000000,84.89
1772838300000,84.95
1772838600000,84.97
1772838900000,84.95
1772839200000,84.92
1772839500000,84.95
1772839800000,84.88
1772840100000,84.78
1772840400000,84.7
1772840700000,84.64
1772841000000,84.62
1772841300000,84.65
1772841600000,84.48
1772841900000,84.72
1772842200000,84.73
1772842500000,84.86
1772842800000,84.83
1772843100000,84.85
1772843400000,84.89
1772843700000,84.68
1772844000000,84.67
1772844300000,84.68
1772844600000,84.74
1772844900000,84.7
1772845200000,84.8
1772845500000,84.77
1772845800000,84.75
1772846100000,84.69
1772846400000,84.58
1772846700000,84.61
1772847000000,84.62
1772847300000,84.69
1772847600000,84.74
1772847900000,84.76
1772848200000,84.68
1772848500000,84.66
1772848800000,84.62
1772849100000,84.65
1772849400000,84.64
1772849700000,84.6
1772850000000,84.46
1772850300000,84.4
1772850600000,84.33
1772850900000,84.41
1772851200000,84.42
1772851500000,84.48
1772851800000,84.42
1772852100000,84.62
1772852400000,84.66
1772852700000,84.71
1772853000000,84.99
1772853300000,84.7
1772853600000,84.63
1772853900000,84.58
1772854200000,84.58
1772854500000,84.5
1772854800000,84.47
1772855100000,84.45
1772855400000,84.36
1772855700000,84.48
1772856000000,84.0
1772856300000,84.11
1772856600000,84.07
1772856900000,84.29
1772857200000,84.28
1772857500000,84.23
1772857800000,84.15
1772858100000,84.32
1772858400000,84.28
1772858700000,84.26
1772859000000,84.28
1772859300000,84.2
1772859600000,84.24
1772859900000,84.26
1772860200000,84.2
1772860500000,84.16
1772860800000,84.24
1772861100000,84.33
1772861400000,84.1
1772861700000,84.25
1772862000000,84.34
1772862300000,84.36
1772862600000,84.44
1772862900000,84.29
1772863200000,84.22
1772863500000,84.1
1772863800000,84.08
1772864100000,84.1
1772864400000,84.16
1772864700000,84.14
1772865000000,84.07
1772865300000,84.04
1772865600000,84.16
1772865900000,84.1
1772866200000,83.96
1772866500000,83.98
1772866800000,83.91
1772867100000,83.93
1772867400000,84.09
1772867700000,83.99
1772868000000,84.08
1772868300000,84.11
1772868600000,84.13
1772868900000,83.95
1772869200000,84.16
1772869500000,84.17
1772869800000,84.28
1772870100000,84.28
1772870400000,84.24
1772870700000,84.15
1772871000000,84.18
1772871300000,84.33
1772871600000,84.39
1772871900000,84.35
1772872200000,84.43
1772872500000,84.45
1772872800000,84.41
1772873100000,84.47
1772873400000,84.43
1772873700000,84.31
1772874000000,84.21
1772874300000,84.31
1772874600000,84.47
1772874900000,84.49
1772875200000,84.54
1772875500000,84.49
1772875800000,84.49
1772876100000,84.49
1772876400000,84.47
1772876700000,84.55
1772877000000,84.5
1772877300000,84.51
1772877600000,84.62
1772877900000,84.59
1772878200000,84.69
1772878500000,84.6
1772878800000,84.55
1772879100000,84.55
1772879400000,84.55
1772879700000,84.61
1772880000000,84.56
1772880300000,84.58
1772880600000,84.42
1772880900000,84.42
1772881200000,84.27
1772881500000,84.29
1772881800000,84.79
1772882100000,84.74
1772882400000,84.63
1772882700000,84.67
1772883000000,84.68
1772883300000,84.74
1772883600000,84.76
1772883900000,84.65
1772884200000,84.67
1772884500000,84.59
1772884800000,84.7
1772885100000,84.57
1772885400000,84.52
1772885700000,84.59
1772886000000,84.6
1772886300000,84.59
1772886600000,84.61
1772886900000,84.57
1772887200000,84.38
1772887500000,84.25
1772887800000,84.28
1772888100000,84.23
1772888400000,84.4
1772888700000,84.38
1772889000000,84.39
1772889300000,84.32
1772889600000,84.39
1772889900000,84.38
1772890200000,84.37
1772890500000,84.14
1772890800000,84.18
1772891100000,84.24
1772891400000,84.25
1772891700000,84.23
1772892000000,84.08
1772892300000,83.84
1772892600000,83.78
1772892900000,83.86
1772893200000,83.83
1772893500000,83.8
1772893800000,83.88
1772894100000,84.31
1772894400000,84.14
1772894700000,84.12
1772895000000,84.16
1772895300000,84.16
1772895600000,84.04
1772895900000,84.02
1772896200000,84.02
1772896500000,84.04
1772896800000,84.06
1772897100000,83.97
1772897400000,84.04
1772897700000,83.5
1772898000000,83.5
1772898300000,83.61
1772898600000,83.7
1772898900000,83.69
1772899200000,83.6
1772899500000,83.68
1772899800000,83.7
1772900100000,83.53
1772900400000,83.51
1772900700000,83.55
1772901000000,83.56
1772901300000,83.53
1772901600000,83.53
1772901900000,83.51
1772902200000,83.52
1772902500000,83.51
1772902800000,83.72
1772903100000,83.71
1772903400000,83.78
1772903700000,83.78
1772904000000,83.97
1772904300000,83.91
1772904600000,83.88
1772904900000,83.9
1772905200000,83.91
1772905500000,83.86
1772905800000,83.84
1772906100000,83.57
1772906400000,83.22
1772906700000,83.25
1772907000000,83.27
1772907300000,83.26
1772907600000,83.39
1772907900000,83.39
1772908200000,83.26
1772908500000,83.34
1772908800000,83.38
1772909100000,83.39
1772909400000,83.36
1772909700000,83.32
1772910000000,83.0
1772910300000,83.14
1772910600000,83.05
1772910900000,82.83
1772911200000,82.91
1772911500000,82.76
1772911800000,82.91
1772912100000,82.87
1772912400000,82.9
1772912700000,82.53
1772913000000,82.36
1772913300000,82.46
1772913600000,82.73
1772913900000,82.73
1772914200000,82.81
1772914500000,82.78
1772914800000,82.81
1772915100000,82.81
1772915400000,82.82
1772915700000,83.02
1772916000000,82.94
1772916300000,82.97
1772916600000,82.92
1772916900000,82.96
1772917200000,82.87
1772917500000,83.03
1772917800000,82.95
1772918100000,82.94
1772918400000,82.98
1772918700000,83.11
1772919000000,83.01
1772919300000,82.9
1772919600000,83.02
1772919900000,83.06
1772920200000,83.08
1772920500000,83.23
1772920800000,83.19
1772921100000,83.14
1772921400000,83.02
1772921700000,83.12
1772922000000,82.99
1772922300000,82.96
1772922600000,82.8
1772922900000,82.89
1772923200000,82.95
1772923500000,83.01
1772923800000,83.0
1772924100000,82.92
1772924400000,83.08
1772924700000,83.08
1772925000000,83.1
1772925300000,83.11
1772925600000,83.16
1772925900000,83.11
1772926200000,83.1
1772926500000,83.06
1772926800000,83.11
1772927100000,83.12
1772927400000,83.11
1772927700000,83.17
1772928000000,83.35
1772928300000,83.36
1772928600000,83.29
1772928900000,83.26
1772929200000,83.16
1772929500000,83.13
1772929800000,83.04
1772930100000,83.01
1772930400000,83.0
1772930700000,82.85
1772931000000,82.98
1772931300000,83.0
1772931600000,82.84
1772931900000,83.11
1772932200000,83.05
1772932500000,83.02
1772932800000,83.05
1772933100000,82.92
1772933400000,82.67
1772933700000,82.81
1772934000000,82.95
1772934300000,83.02
1772934600000,83.05
1772934900000,82.91
1772935200000,82.85
1772935500000,82.78
1772935800000,82.92
1772936100000,82.87
1772936400000,82.88
1772936700000,82.72
1772937000000,82.61
1772937300000,82.7
1772937600000,83.02
1772937900000,82.43
1772938200000,82.44
1772938500000,82.32
1772938800000,82.31
1772939100000,82.21
1772939400000,82.49
1772939700000,82.6
1772940000000,82.59
1772940300000,82.59
1772940600000,82.46
1772940900000,82.42
1772941200000,82.41
1772941500000,82.31
1772941800000,82.3
1772942100000,82.27
1772942400000,82.39
1772942700000,82.41
1772943000000,82.35
1772943300000,82.43
1772943600000,82.4
1772943900000,82.39
1772944200000,82.28
1772944500000,82.24
1772944800000,82.27
1772945100000,82.19
1772945400000,81.85
1772945700000,81.89
1772946000000,82.03
1772946300000,82.22
1772946600000,82.27
1772946900000,82.45
1772947200000,82.63
1772947500000,82.62
1772947800000,82.59
1772948100000,82.59
1772948400000,82.54
1772948700000,82.59
1772949000000,82.55
1772949300000,82.44
1772949600000,82.53
1772949900000,82.45
1772950200000,82.27
1772950500000,82.3
1772950800000,82.43
1772951100000,82.33
1772951400000,82.29
1772951700000,82.44
1772952000000,82.41
1772952300000,82.23
1772952600000,82.31
1772952900000,82.4
1772953200000,82.57
1772953500000,82.78
