open_time,open,high,low,close,volume
1762426800000,159.06,159.4,158.18,158.85,157030.872
1762430400000,158.85,159.43,157.11,157.49,147578.013
1762434000000,157.48,161.33,157.48,160.65,222195.915
1762437600000,160.64,161.51,157.35,157.8,222752.584
1762441200000,157.79,158.99,155.4,155.92,340487.7
1762444800000,155.92,156.99,153.8,155.4,329661.76
1762448400000,155.4,157.64,154.84,157.26,184872.928
1762452000000,157.26,158.67,155.46,157.49,148588.917
1762455600000,157.49,157.83,156.15,156.89,105767.762
1762459200000,156.89,157.82,154.64,155.31,121415.746
1762462800000,155.31,156.94,154.67,156.49,84805.621
1762466400000,156.49,156.81,154.26,155.58,85506.316
1762470000000,155.57,155.57,153.45,155.28,98749.324
1762473600000,155.27,157.14,154.89,156.77,135922.019
1762477200000,156.78,157.25,154.22,157.05,137526.934
1762480800000,157.04,158.1,156.16,158.01,123148.048
1762484400000,158.02,158.62,156.79,156.85,119919.015
1762488000000,156.86,157.08,155.24,156.17,122441.889
1762491600000,156.17,158.24,156.15,158.09,94691.071
1762495200000,158.1,158.28,156.8,156.8,57406.757
1762498800000,156.81,157.87,156.37,157.79,69055.415
1762502400000,157.79,158.21,156.85,157.3,60839.181
1762506000000,157.3,157.33,154.13,154.74,128493.039
1762509600000,154.73,155.76,153.64,154.25,126437.203
1762513200000,154.26,154.26,151.67,153.85,241802.465
1762516800000,153.86,154.17,150.92,151.64,222011.628
1762520400000,151.64,153.22,151.0,152.31,310067.169
1762524000000,152.3,155.14,149.82,154.76,423319.776
1762527600000,154.77,156.27,153.29,155.42,252038.433
1762531200000,155.42,158.13,154.4,157.29,243395.13
1762534800000,157.28,161.52,156.51,161.16,384423.487
1762538400000,161.17,162.97,160.91,162.11,206551.908
1762542000000,162.12,164.48,161.52,164.17,185229.971
1762545600000,164.17,164.41,161.84,163.36,238203.655
1762549200000,163.35,163.82,162.68,163.52,112819.408
1762552800000,163.51,163.91,162.76,163.22,88510.558
1762556400000,163.23,163.27,161.61,161.79,128823.813
1762560000000,161.8,162.6,160.59,160.88,131557.298
1762563600000,160.87,162.48,160.82,162.04,99704.897
1762567200000,162.04,164.44,161.93,163.41,144615.485
1762570800000,163.41,164.89,162.48,162.52,170517.626
1762574400000,162.52,163.66,162.51,162.71,68812.799
1762578000000,162.72,163.08,161.03,161.37,81931.218
1762581600000,161.37,161.97,160.16,161.14,92089.145
1762585200000,161.14,161.2,159.58,161.06,104110.114
1762588800000,161.05,162.07,160.3,161.56,93749.078
1762592400000,161.57,162.34,161.0,161.13,82948.498
1762596000000,161.13,161.25,160.52,160.82,72498.191
1762599600000,160.83,161.18,159.01,159.39,172512.73
1762603200000,159.39,159.7,158.78,159.43,84517.894
1762606800000,159.44,159.48,158.12,158.21,127693.279
1762610400000,158.22,158.53,156.8,157.67,174149.774
1762614000000,157.67,157.83,155.9,156.65,186259.979
1762617600000,156.65,157.38,155.8,156.76,134382.043
1762621200000,156.75,157.69,156.03,157.6,71865.342
1762624800000,157.59,158.18,156.94,157.96,77058.025
1762628400000,157.95,158.04,156.22,157.36,92622.584
1762632000000,157.36,158.28,157.22,157.69,106145.699
1762635600000,157.69,158.26,157.6,158.05,40158.286
1762639200000,158.05,158.4,157.62,158.02,38753.242
1762642800000,158.02,158.44,157.85,158.02,54274.014
1762646400000,158.01,158.02,156.6,156.84,54963.996
1762650000000,156.84,158.32,156.77,158.18,30916.593
1762653600000,158.17,158.18,155.72,156.02,121017.757
1762657200000,156.03,156.51,155.11,155.88,99182.141
1762660800000,155.89,157.64,155.85,157.23,140285.63
1762664400000,157.23,158.33,157.13,158.11,91151.008
1762668000000,158.12,159.12,157.85,158.26,83918.133
1762671600000,158.26,159.58,157.85,159.3,114511.82
1762675200000,159.29,159.69,158.76,159.46,59046.752
1762678800000,159.46,159.94,158.17,158.27,73600.204
1762682400000,158.26,158.45,157.28,158.44,56575.347
1762686000000,158.44,159.5,158.44,159.06,74354.862
1762689600000,159.06,159.97,158.59,159.1,94203.585
1762693200000,159.1,160.51,159.0,160.06,168503.256
1762696800000,160.05,163.12,159.26,160.15,542792.015
1762700400000,160.15,163.98,159.72,162.53,345997.622
1762704000000,162.53,163.17,161.81,162.93,115045.385
1762707600000,162.94,163.0,161.23,161.8,110431.309
1762711200000,161.8,164.08,161.35,163.99,121217.891
