open_time,okx_close
1772949600000,82.46
1772953200000,82.95
1772956800000,83.1
1772960400000,83.17
1772964000000,83.66
1772967600000,82.82
1772971200000,82.32
1772974800000,82.07
1772978400000,82.33
1772982000000,82.06
1772985600000,81.54
1772989200000,81.68
1772992800000,81.61
1772996400000,82.48
1773000000000,82.32
1773003600000,82.25
1773007200000,81.99
1773010800000,81.59
1773014400000,82.35
1773018000000,82.09
1773021600000,82.67
1773025200000,83.17
1773028800000,83.2
1773032400000,84.27
1773036000000,83.13
1773039600000,83.17
1773043200000,83.71
1773046800000,84.04
1773050400000,83.74
1773054000000,83.57
1773057600000,84.0
1773061200000,85.15
1773064800000,85.29
1773068400000,85.05
1773072000000,85.13
1773075600000,85.08
1773079200000,85.19
1773082800000,85.97
1773086400000,85.81
1773090000000,86.02
1773093600000,85.72
1773097200000,84.95
1773100800000,85.57
1773104400000,85.74
1773108000000,86.62
1773111600000,85.56
1773115200000,86.54
1773118800000,86.41
1773122400000,86.36
1773126000000,86.7
1773129600000,86.71
1773133200000,87.24
1773136800000,87.1
1773140400000,86.79
1773144000000,86.69
1773147600000,86.09
1773151200000,88.09
1773154800000,88.35
1773158400000,88.4
1773162000000,87.94
1773165600000,86.24
1773169200000,86.02
1773172800000,86.25
1773176400000,85.71
1773180000000,85.52
1773183600000,85.87
1773187200000,86.02
1773190800000,86.1
1773194400000,85.91
1773198000000,85.62
1773201600000,86.73
1773205200000,85.72
1773208800000,86.03
1773212400000,85.44
1773216000000,85.49
1773219600000,84.89
1773223200000,85.26
1773226800000,84.53
1773230400000,85.19
1773234000000,85.97
1773237600000,86.53
1773241200000,85.4
1773244800000,86.43
1773248400000,87.27
1773252000000,87.81
1773255600000,87.3
1773259200000,87.29
1773262800000,87.53
1773266400000,87.04
1773270000000,86.57
1773273600000,86.68
1773277200000,86.04
1773280800000,85.21
1773284400000,85.02
1773288000000,85.11
1773291600000,85.14
1773295200000,85.37
1773298800000,85.81
1773302400000,85.95
1773306000000,86.18
1773309600000,86.75
1773313200000,86.8
1773316800000,87.24
1773320400000,86.74
1773324000000,85.54
1773327600000,86.58
1773331200000,86.81
1773334800000,86.6
1773338400000,85.87
1773342000000,86.79
1773345600000,86.45
1773349200000,86.54
1773352800000,86.29
1773356400000,86.84
1773360000000,89.78
1773363600000,90.47
1773367200000,89.09
1773370800000,89.7
1773374400000,89.36
1773378000000,89.09
1773381600000,88.42
1773385200000,88.69
1773388800000,89.15
1773392400000,89.5
1773396000000,90.19
1773399600000,90.31
1773403200000,90.99
1773406800000,91.86
1773410400000,90.69
1773414000000,89.48
1773417600000,89.62
1773421200000,88.89
1773424800000,88.82
1773428400000,88.91
1773432000000,88.91
1773435600000,88.57
1773439200000,88.01
1773442800000,88.18
1773446400000,87.95
1773450000000,88.25
1773453600000,88.23
1773457200000,88.42
1773460800000,88.26
1773464400000,88.1
1773468000000,87.24
1773471600000,87.32
1773475200000,87.15
1773478800000,86.85
1773482400000,86.66
1773486000000,86.96
1773489600000,87.11
1773493200000,87.12
1773496800000,86.72
1773500400000,86.73
1773504000000,87.07
1773507600000,86.9
1773511200000,87.05
1773514800000,87.01
1773518400000,87.09
1773522000000,87.3
1773525600000,87.31
1773529200000,88.04
1773532800000,87.75
1773536400000,87.69
1773540000000,88.29
1773543600000,87.87
1773547200000,88.32
1773550800000,88.33
1773554400000,88.35
1773558000000,88.22
1773561600000,88.48
1773565200000,88.53
1773568800000,88.48
1773572400000,88.56
1773576000000,88.26
1773579600000,87.84
1773583200000,87.98
1773586800000,87.91
1773590400000,87.56
1773594000000,88.43
1773597600000,87.91
1773601200000,88.18
1773604800000,88.76
1773608400000,90.03
1773612000000,92.65
1773615600000,92.3
1773619200000,92.0
1773622800000,92.09
1773626400000,91.49
1773630000000,93.17
1773633600000,93.62
1773637200000,94.05
1773640800000,93.41
1773644400000,93.56
1773648000000,92.87
1773651600000,93.3
1773655200000,93.9
1773658800000,93.74
1773662400000,93.76
1773666000000,93.67
1773669600000,93.6
1773673200000,93.2
1773676800000,93.81
1773680400000,94.08
1773684000000,94.38
1773687600000,95.21
1773691200000,95.79
1773694800000,96.18
1773698400000,96.37
1773702000000,96.21
1773705600000,95.52
1773709200000,95.7
1773712800000,95.15
1773716400000,94.07
1773720000000,93.79
1773723600000,93.81
1773727200000,93.9
1773730800000,94.42
1773734400000,94.4
1773738000000,93.9
1773741600000,93.57
1773745200000,93.65
1773748800000,93.42
1773752400000,93.79
1773756000000,94.5
1773759600000,93.84
1773763200000,94.39
1773766800000,94.57
1773770400000,95.32
1773774000000,94.67
1773777600000,94.89
1773781200000,95.27
1773784800000,95.31
1773788400000,94.61
1773792000000,94.52
1773795600000,94.42
1773799200000,94.94
1773802800000,95.04
1773806400000,94.12
1773810000000,93.93
1773813600000,94.24
1773817200000,93.96
1773820800000,94.03
1773824400000,94.27
1773828000000,93.87
1773831600000,92.01
1773835200000,90.41
1773838800000,90.31
1773842400000,88.96
1773846000000,89.38
1773849600000,88.98
1773853200000,89.94
1773856800000,89.58
1773860400000,89.7
1773864000000,90.0
1773867600000,90.46
1773871200000,90.03
1773874800000,90.09
1773878400000,90.12
1773882000000,90.18
1773885600000,89.98
1773889200000,90.73
1773892800000,89.9
1773896400000,89.76
1773900000000,89.88
1773903600000,89.41
1773907200000,89.35
1773910800000,90.2
1773914400000,89.81
1773918000000,89.62
1773921600000,88.11
1773925200000,88.5
1773928800000,88.24
1773932400000,87.62
1773936000000,87.7
1773939600000,88.14
1773943200000,88.15
1773946800000,88.71
1773950400000,88.98
1773954000000,89.14
1773957600000,88.77
1773961200000,88.89
1773964800000,89.41
1773968400000,89.48
1773972000000,89.32
1773975600000,89.55
1773979200000,89.29
1773982800000,89.35
1773986400000,89.09
1773990000000,89.38
1773993600000,89.8
1773997200000,88.97
1774000800000,89.32
1774004400000,89.15
1774008000000,89.14
1774011600000,88.82
1774015200000,88.93
1774018800000,88.96
1774022400000,88.92
1774026000000,88.91
1774029600000,88.56
1774033200000,88.98
1774036800000,89.02
1774040400000,89.6
1774044000000,90.1
1774047600000,89.86
1774051200000,90.03
1774054800000,89.87
1774058400000,90.46
1774062000000,90.44
1774065600000,90.28
1774069200000,89.98
1774072800000,90.17
1774076400000,90.13
1774080000000,90.0
1774083600000,90.19
1774087200000,89.98
1774090800000,89.95
1774094400000,90.19
1774098000000,90.03
1774101600000,89.68
1774105200000,89.84
1774108800000,89.68
1774112400000,89.57
1774116000000,89.78
1774119600000,89.8
1774123200000,90.16
1774126800000,90.01
1774130400000,89.91
1774134000000,87.56
1774137600000,87.34
1774141200000,87.45
1774144800000,88.16
1774148400000,88.67
1774152000000,89.02
1774155600000,88.46
1774159200000,88.2
1774162800000,87.71
1774166400000,87.38
1774170000000,87.32
1774173600000,87.34
1774177200000,86.84
1774180800000,87.26
1774184400000,87.33
1774188000000,87.2
1774191600000,87.58
1774195200000,87.49
1774198800000,87.27
1774202400000,87.03
1774206000000,86.87
1774209600000,86.58
1774213200000,85.99
1774216800000,86.73
1774220400000,86.21
1774224000000,85.9
1774227600000,86.09
1774231200000,86.69
1774234800000,86.4
1774238400000,86.89
1774242000000,87.19
1774245600000,85.76
1774249200000,85.99
1774252800000,85.96
1774256400000,85.76
1774260000000,86.06
1774263600000,88.79
1774267200000,90.23
1774270800000,91.33
1774274400000,91.52
1774278000000,89.95
1774281600000,90.34
1774285200000,91.28
1774288800000,91.62
1774292400000,91.39
1774296000000,91.78
1774299600000,91.62
1774303200000,91.53
1774306800000,91.44
1774310400000,91.0
1774314000000,90.42
1774317600000,90.16
1774321200000,90.34
1774324800000,90.35
1774328400000,90.13
1774332000000,90.46
1774335600000,91.73
1774339200000,91.57
1774342800000,92.13
1774346400000,91.86
1774350000000,91.77
1774353600000,91.58
1774357200000,89.86
1774360800000,89.55
1774364400000,89.74
1774368000000,89.28
1774371600000,89.17
1774375200000,88.89
1774378800000,88.51
1774382400000,90.03
1774386000000,90.37
1774389600000,90.34
1774393200000,90.79
1774396800000,91.31
1774400400000,90.92
1774404000000,91.12
1774407600000,91.69
1774411200000,92.05
1774414800000,92.42
1774418400000,92.38
1774422000000,91.82
1774425600000,92.34
1774429200000,92.54
1774432800000,92.65
1774436400000,92.98
1774440000000,93.04
1774443600000,92.74
1774447200000,91.96
1774450800000,91.79
1774454400000,92.22
1774458000000,91.71
1774461600000,91.69
1774465200000,91.76
1774468800000,91.49
1774472400000,91.26
1774476000000,91.76
1774479600000,91.71
1774483200000,91.72
1774486800000,91.84
1774490400000,90.96
1774494000000,91.07
1774497600000,90.81
1774501200000,89.25
1774504800000,89.06
1774508400000,89.1
1774512000000,88.89
1774515600000,88.11
1774519200000,87.95
1774522800000,87.57
1774526400000,87.59
1774530000000,87.92
1774533600000,87.55
1774537200000,87.54
1774540800000,87.22
1774544400000,86.61
1774548000000,86.05
1774551600000,85.46
1774555200000,86.34
1774558800000,86.84
1774562400000,86.82
1774566000000,86.53
1774569600000,86.55
1774573200000,86.88
1774576800000,86.7
1774580400000,86.43
1774584000000,86.18
1774587600000,86.11
1774591200000,86.07
1774594800000,85.93
1774598400000,85.1
1774602000000,85.07
1774605600000,83.01
1774609200000,83.38
1774612800000,83.1
1774616400000,82.92
1774620000000,83.17
1774623600000,83.33
1774627200000,83.02
1774630800000,82.24
1774634400000,82.4
1774638000000,82.81
1774641600000,82.78
1774645200000,82.75
1774648800000,82.74
1774652400000,83.1
1774656000000,82.86
1774659600000,82.66
1774663200000,82.57
1774666800000,82.59
1774670400000,82.56
1774674000000,82.76
1774677600000,83.18
1774681200000,83.61
1774684800000,83.39
1774688400000,83.04
1774692000000,83.02
1774695600000,82.96
1774699200000,82.69
1774702800000,83.38
1774706400000,83.26
1774710000000,83.83
1774713600000,83.55
1774717200000,83.31
1774720800000,83.37
1774724400000,83.27
1774728000000,83.4
1774731600000,82.7
1774735200000,82.79
1774738800000,82.08
1774742400000,82.21
1774746000000,82.47
1774749600000,82.77
1774753200000,83.0
1774756800000,82.78
1774760400000,82.7
1774764000000,82.48
1774767600000,82.45
1774771200000,82.45
1774774800000,82.35
1774778400000,82.12
1774782000000,82.58
1774785600000,82.43
1774789200000,81.92
1774792800000,81.92
1774796400000,81.82
1774800000000,81.7
1774803600000,81.55
1774807200000,81.8
1774810800000,81.61
1774814400000,81.93
1774818000000,82.14
1774821600000,80.93
1774825200000,81.42
1774828800000,81.89
1774832400000,82.71
1774836000000,83.35
1774839600000,83.27
1774843200000,83.77
1774846800000,83.64
1774850400000,83.46
1774854000000,84.03
1774857600000,84.5
1774861200000,84.13
1774864800000,83.92
1774868400000,84.26
1774872000000,84.51
1774875600000,84.01
1774879200000,84.39
1774882800000,84.5
1774886400000,84.22
1774890000000,83.27
1774893600000,82.7
1774897200000,82.4
1774900800000,82.81
1774904400000,83.17
1774908000000,82.82
1774911600000,82.55
1774915200000,82.73
1774918800000,83.85
1774922400000,83.83
1774926000000,83.6
1774929600000,83.34
1774933200000,83.77
1774936800000,83.41
1774940400000,83.1
1774944000000,82.25
1774947600000,80.56
1774951200000,80.47
1774954800000,80.86
1774958400000,80.8
1774962000000,81.87
1774965600000,80.63
1774969200000,80.87
1774972800000,82.38
1774976400000,82.39
1774980000000,82.89
1774983600000,82.71
1774987200000,83.18
1774990800000,82.86
1774994400000,82.77
1774998000000,83.19
1775001600000,83.42
1775005200000,82.75
1775008800000,82.64
1775012400000,83.44
1775016000000,83.75
1775019600000,84.14
1775023200000,84.45
1775026800000,83.83
1775030400000,83.63
1775034000000,83.39
1775037600000,83.38
1775041200000,83.38
1775044800000,83.04
1775048400000,82.67
1775052000000,83.38
1775055600000,83.64
1775059200000,85.26
1775062800000,84.44
1775066400000,83.65
1775070000000,83.84
1775073600000,82.56
1775077200000,81.87
1775080800000,81.17
1775084400000,81.2
1775088000000,81.65
1775091600000,79.35
1775095200000,78.88
1775098800000,79.01
1775102400000,78.84
1775106000000,79.26
1775109600000,79.14
1775113200000,79.64
1775116800000,79.13
1775120400000,79.27
1775124000000,78.89
1775127600000,78.33
1775131200000,77.98
1775134800000,77.76
1775138400000,79.07
1775142000000,79.05
1775145600000,79.44
1775149200000,78.59
1775152800000,79.13
1775156400000,78.99
