open_time,okx_close
1772949600000,82.4
1772953200000,82.88
1772956800000,83.04
1772960400000,83.1
1772964000000,83.6
1772967600000,82.74
1772971200000,82.25
1772974800000,82.03
1772978400000,82.26
1772982000000,82.0
1772985600000,81.48
1772989200000,81.62
1772992800000,81.54
1772996400000,82.42
1773000000000,82.26
1773003600000,82.2
1773007200000,81.93
1773010800000,81.54
1773014400000,82.3
1773018000000,82.05
1773021600000,82.61
1773025200000,83.1
1773028800000,83.14
1773032400000,84.23
1773036000000,83.08
1773039600000,83.11
1773043200000,83.67
1773046800000,83.97
1773050400000,83.69
1773054000000,83.51
1773057600000,83.96
1773061200000,85.1
1773064800000,85.26
1773068400000,85.0
1773072000000,85.09
1773075600000,85.04
1773079200000,85.15
1773082800000,85.92
1773086400000,85.75
1773090000000,85.96
1773093600000,85.69
1773097200000,84.9
1773100800000,85.52
1773104400000,85.69
1773108000000,86.58
1773111600000,85.52
1773115200000,86.49
1773118800000,86.36
1773122400000,86.3
1773126000000,86.65
1773129600000,86.67
1773133200000,87.19
1773136800000,87.06
1773140400000,86.75
1773144000000,86.64
1773147600000,86.02
1773151200000,88.06
1773154800000,88.32
1773158400000,88.36
1773162000000,87.9
1773165600000,86.18
1773169200000,85.97
1773172800000,86.17
1773176400000,85.66
1773180000000,85.47
1773183600000,85.81
1773187200000,85.97
1773190800000,86.04
1773194400000,85.87
1773198000000,85.56
1773201600000,86.68
1773205200000,85.68
1773208800000,85.99
1773212400000,85.39
1773216000000,85.44
1773219600000,84.82
1773223200000,85.22
1773226800000,84.49
1773230400000,85.14
1773234000000,85.91
1773237600000,86.48
1773241200000,85.36
1773244800000,86.4
1773248400000,87.23
1773252000000,87.76
1773255600000,87.25
1773259200000,87.25
1773262800000,87.5
1773266400000,86.99
1773270000000,86.53
1773273600000,86.61
1773277200000,85.98
1773280800000,85.14
1773284400000,84.94
1773288000000,85.03
1773291600000,85.07
1773295200000,85.33
1773298800000,85.75
1773302400000,85.9
1773306000000,86.14
1773309600000,86.71
1773313200000,86.76
1773316800000,87.21
1773320400000,86.7
1773324000000,85.46
1773327600000,86.53
1773331200000,86.77
1773334800000,86.57
1773338400000,85.83
1773342000000,86.75
1773345600000,86.42
1773349200000,86.5
1773352800000,86.24
1773356400000,86.79
1773360000000,89.74
1773363600000,90.43
1773367200000,89.05
1773370800000,89.67
1773374400000,89.29
1773378000000,89.05
1773381600000,88.37
1773385200000,88.63
1773388800000,89.09
1773392400000,89.45
1773396000000,90.12
1773399600000,90.27
1773403200000,90.93
1773406800000,91.82
1773410400000,90.66
1773414000000,89.42
1773417600000,89.56
1773421200000,88.82
1773424800000,88.76
1773428400000,88.85
1773432000000,88.84
1773435600000,88.52
1773439200000,87.96
1773442800000,88.12
1773446400000,87.89
1773450000000,88.18
1773453600000,88.17
1773457200000,88.36
1773460800000,88.2
1773464400000,88.02
1773468000000,87.19
1773471600000,87.25
1773475200000,87.07
1773478800000,86.76
1773482400000,86.6
1773486000000,86.9
1773489600000,87.06
1773493200000,87.06
1773496800000,86.65
1773500400000,86.68
1773504000000,87.02
1773507600000,86.83
1773511200000,86.98
1773514800000,86.94
1773518400000,87.02
1773522000000,87.23
1773525600000,87.25
1773529200000,87.98
1773532800000,87.71
1773536400000,87.63
1773540000000,88.23
1773543600000,87.81
1773547200000,88.28
1773550800000,88.27
1773554400000,88.31
1773558000000,88.17
1773561600000,88.45
1773565200000,88.49
1773568800000,88.43
1773572400000,88.51
1773576000000,88.22
1773579600000,87.8
1773583200000,87.92
1773586800000,87.85
1773590400000,87.51
1773594000000,88.37
1773597600000,87.85
1773601200000,88.13
1773604800000,88.7
1773608400000,89.96
1773612000000,92.62
1773615600000,92.29
1773619200000,91.98
1773622800000,92.07
1773626400000,91.45
1773630000000,93.15
1773633600000,93.59
1773637200000,94.0
1773640800000,93.35
1773644400000,93.52
1773648000000,92.82
1773651600000,93.26
1773655200000,93.85
1773658800000,93.7
1773662400000,93.69
1773666000000,93.61
1773669600000,93.56
1773673200000,93.15
1773676800000,93.76
1773680400000,94.03
1773684000000,94.32
1773687600000,95.17
1773691200000,95.73
1773694800000,96.12
1773698400000,96.33
1773702000000,96.14
1773705600000,95.45
1773709200000,95.65
1773712800000,95.08
1773716400000,94.01
1773720000000,93.74
1773723600000,93.76
1773727200000,93.84
1773730800000,94.38
1773734400000,94.35
1773738000000,93.84
1773741600000,93.52
1773745200000,93.59
1773748800000,93.36
1773752400000,93.74
1773756000000,94.44
1773759600000,93.77
1773763200000,94.34
1773766800000,94.5
1773770400000,95.27
1773774000000,94.6
1773777600000,94.83
1773781200000,95.21
1773784800000,95.26
1773788400000,94.55
1773792000000,94.47
1773795600000,94.37
1773799200000,94.87
1773802800000,94.99
1773806400000,94.06
1773810000000,93.87
1773813600000,94.17
1773817200000,93.88
1773820800000,93.96
1773824400000,94.21
1773828000000,93.8
1773831600000,91.94
1773835200000,90.34
1773838800000,90.25
1773842400000,88.89
1773846000000,89.31
1773849600000,88.91
1773853200000,89.85
1773856800000,89.51
1773860400000,89.63
1773864000000,89.93
1773867600000,90.41
1773871200000,89.98
1773874800000,90.02
1773878400000,90.05
1773882000000,90.1
1773885600000,89.92
1773889200000,90.66
1773892800000,89.84
1773896400000,89.7
1773900000000,89.82
1773903600000,89.36
1773907200000,89.3
1773910800000,90.15
1773914400000,89.75
1773918000000,89.57
1773921600000,88.05
1773925200000,88.45
1773928800000,88.17
1773932400000,87.57
1773936000000,87.64
1773939600000,88.09
1773943200000,88.08
1773946800000,88.66
1773950400000,88.92
1773954000000,89.08
1773957600000,88.71
1773961200000,88.84
1773964800000,89.35
1773968400000,89.42
1773972000000,89.26
1773975600000,89.53
1773979200000,89.22
1773982800000,89.3
1773986400000,89.03
1773990000000,89.32
1773993600000,89.73
1773997200000,88.91
1774000800000,89.25
1774004400000,89.09
1774008000000,89.07
1774011600000,88.75
1774015200000,88.86
1774018800000,88.91
1774022400000,88.87
1774026000000,88.84
1774029600000,88.5
1774033200000,88.94
1774036800000,88.94
1774040400000,89.52
1774044000000,90.04
1774047600000,89.79
1774051200000,89.97
1774054800000,89.83
1774058400000,90.41
1774062000000,90.41
1774065600000,90.24
1774069200000,89.92
1774072800000,90.11
1774076400000,90.1
1774080000000,89.94
1774083600000,90.15
1774087200000,89.94
1774090800000,89.9
1774094400000,90.13
1774098000000,89.96
1774101600000,89.6
1774105200000,89.76
1774108800000,89.61
1774112400000,89.49
1774116000000,89.71
1774119600000,89.74
1774123200000,90.1
1774126800000,89.94
1774130400000,89.81
1774134000000,87.48
1774137600000,87.24
1774141200000,87.38
1774144800000,88.08
1774148400000,88.61
1774152000000,88.95
1774155600000,88.41
1774159200000,88.16
1774162800000,87.64
1774166400000,87.3
1774170000000,87.24
1774173600000,87.27
1774177200000,86.77
1774180800000,87.21
1774184400000,87.25
1774188000000,87.14
1774191600000,87.52
1774195200000,87.41
1774198800000,87.21
1774202400000,86.94
1774206000000,86.81
1774209600000,86.52
1774213200000,85.92
1774216800000,86.69
1774220400000,86.16
1774224000000,85.84
1774227600000,86.04
1774231200000,86.66
1774234800000,86.34
1774238400000,86.85
1774242000000,87.12
1774245600000,85.68
1774249200000,85.93
1774252800000,85.88
1774256400000,85.69
1774260000000,86.01
1774263600000,88.75
1774267200000,90.16
1774270800000,91.29
1774274400000,91.47
1774278000000,89.91
1774281600000,90.3
1774285200000,91.21
1774288800000,91.57
1774292400000,91.34
1774296000000,91.74
1774299600000,91.59
1774303200000,91.47
1774306800000,91.4
1774310400000,90.94
1774314000000,90.36
1774317600000,90.11
1774321200000,90.3
1774324800000,90.3
1774328400000,90.06
1774332000000,90.41
1774335600000,91.67
1774339200000,91.52
1774342800000,92.08
1774346400000,91.8
1774350000000,91.72
1774353600000,91.53
1774357200000,89.81
1774360800000,89.5
1774364400000,89.68
1774368000000,89.21
1774371600000,89.13
1774375200000,88.81
1774378800000,88.45
1774382400000,89.97
1774386000000,90.31
1774389600000,90.27
1774393200000,90.75
1774396800000,91.28
1774400400000,90.91
1774404000000,91.08
1774407600000,91.65
1774411200000,92.01
1774414800000,92.38
1774418400000,92.33
1774422000000,91.75
1774425600000,92.3
1774429200000,92.51
1774432800000,92.6
1774436400000,92.94
1774440000000,93.0
1774443600000,92.68
1774447200000,91.91
1774450800000,91.72
1774454400000,92.17
1774458000000,91.68
1774461600000,91.64
1774465200000,91.72
1774468800000,91.44
1774472400000,91.2
1774476000000,91.69
1774479600000,91.66
1774483200000,91.64
1774486800000,91.76
1774490400000,90.88
1774494000000,91.01
1774497600000,90.74
1774501200000,89.18
1774504800000,89.0
1774508400000,89.02
1774512000000,88.8
1774515600000,88.06
1774519200000,87.88
1774522800000,87.5
1774526400000,87.51
1774530000000,87.86
1774533600000,87.48
1774537200000,87.47
1774540800000,87.16
1774544400000,86.57
1774548000000,86.0
1774551600000,85.42
1774555200000,86.27
1774558800000,86.76
1774562400000,86.76
1774566000000,86.48
1774569600000,86.51
1774573200000,86.84
1774576800000,86.64
1774580400000,86.37
1774584000000,86.1
1774587600000,86.05
1774591200000,86.0
1774594800000,85.87
1774598400000,85.02
1774602000000,85.0
1774605600000,82.93
1774609200000,83.29
1774612800000,83.03
1774616400000,82.86
1774620000000,83.12
1774623600000,83.25
1774627200000,82.93
1774630800000,82.16
1774634400000,82.29
1774638000000,82.73
1774641600000,82.7
1774645200000,82.68
1774648800000,82.66
1774652400000,83.02
1774656000000,82.79
1774659600000,82.59
1774663200000,82.5
1774666800000,82.53
1774670400000,82.5
1774674000000,82.68
1774677600000,83.12
1774681200000,83.54
1774684800000,83.33
1774688400000,82.98
1774692000000,82.94
1774695600000,82.88
1774699200000,82.63
1774702800000,83.31
1774706400000,83.18
1774710000000,83.76
1774713600000,83.49
1774717200000,83.25
1774720800000,83.31
1774724400000,83.21
1774728000000,83.32
